lon,lat,Cluster number,URBAN_RURA,Age of household head,Average diastolic blood pressure,Average systolic blood pressure,Body Mass Index,Currently amenorrheic,"Drank/ate: Any dark green, leafy vegetables",Drank/ate: Any meat,"Drank/ate: Any oil, fats, or butter, or foods made with any of these",Drank/ate: Any other beverages or foods,Drank/ate: Any other fruits,Drank/ate: Any other vegetables,Drank/ate: Any savory and fried snacks,Drank/ate: Any sugar-sweetened beverages,Drank/ate: Any sweets such as sugary foods,Drank/ate: Condiments for flavor,Drank/ate: Eggs,Drank/ate: Food made of grains,"Drank/ate: Foods made from beans or peas (fresh or dried seed), lentils or bean","Drank/ate: Fresh, canned or dried fish or seafood","Drank/ate: Liver, kidney, heart, or other organ meats or blood-based foods","Drank/ate: Milk, cheese or other food made from milk","Drank/ate: Potatoes, potato chips, banana chips or any other foods made from roo","Drank/ate: Ripe persimmons, or ripe fresh apricots, dried apricots or dried peac","Drank/ate: Sweet red bell pepper, pumpkin or carrots that are yellow or orange i",Drank/ate: Tree nuts,Education in single years,Educational attainment,Ever been tested for HIV,Ever heard of a Sexually Transmitted Infection (STI),Ever heard of AIDS,Ever used anything or tried to delay or avoid getting pregnant,Frequency of listening to radio,Frequency of reading newspaper or magazine,Frequency of using internet last month,Frequency of watching television,Getting medical help for self: distance to health facility,Getting medical help for self: getting money needed for treatment,Getting medical help for self: getting permission to go,Getting medical help for self: not wanting to go alone,Had any STI in last 12 months,Has an account in a bank or other financial institution,Hemoglobin level (g/dl - 1 decimal),Highest educational level,Highest year of education,Household has: bicycle,Household has: car/truck,Household has: electricity,Household has: motorcycle/scooter,Household has: radio,Household has: refrigerator,Household has: telephone (land-line),Household has: television,Literacy,Main floor material,Main roof material,Main wall material,Menstruated in last six weeks,Owns a house alone or jointly,Owns a mobile telephone,Region,Respondent currently working,Respondent worked in last 12 months,Respondent's current age,Respondent's height in centimeters (1 decimal),Respondent's occupation (grouped),Respondent's weight in kilograms (1 decimal),Sex of household head,Smokes cigarettes,Source of drinking water,Time to get to water source,Total children ever born,Type of toilet facility,Use of internet,Wealth index combined,Years lived in place of residence,Age of household members,Agricultural equipment,Anything done to water to make safe to drink,Bed,Believes physical punishment necessary for child disciplinning,Car,Chair,Electric fan,Food cooked in the house/ separate building/ outdoors,Freezer,Fuel or wood stock,Has a computer,Has bicycle,Has mobile telephone,Has motorcycle/scooter,Has refrigerator,Has telephone (land-line),Has watch,Highest educational level attained,Highest grade completed,Highest year of education completed,Location of toilet facility,Member of the household worked abroad for three or more months in the last 3 yea,Mini-generator ('dvizhok'),Native language of respondent,Number of children 5 and under (de jure),Number of de facto members,Number of rooms used for sleeping,Owns Bee hives,Owns cattle,Owns chickens/poultry,Owns cows/ bulls,Owns Fur animals,Owns goats,Owns horses/ donkeys/ mules,Owns land usable for agriculture,"Owns livestock, herds or farm animals",Owns Pigs,Owns Rabbits,Owns sheep,Place where household members wash their hands,Satellite antenna/dish,Sex of head of household,Sex of household member,Share toilet with other households,Time to get to water source (minutes),Total number of completed years of schooling,Tractor,Truck,Type of place of residence,Washing machine,Water usually treated by: boil,Water usually treated by: don't know,Water usually treated by: let it stand and settle,Water usually treated by: other,Water usually treated by: solar disinfection,Water usually treated by: strain through a cloth,Water usually treated by: use water filter
68.85355958,38.55359832,1,1,44.48275862,69.5862069,106,2370.310345,0.034482759,0.310344828,0.862068966,0.689655172,0.551724138,0.896551724,1,0.310344828,0.551724138,0.724137931,0.586206897,0.827586207,0.965517241,0.75862069,0.172413793,0.068965517,0.620689655,0.724137931,0.413793103,0.75862069,0.137931034,10.25671881,3.620689655,0.310344828,0.793103448,0.793103448,0.620689655,0.862068966,1.103448276,0.517241379,1.793103448,1.931034483,1.620689655,1.965517241,1.862068966,0,0,127.8965517,2.103448276,5.07303137,0.206896552,0.206896552,1,0,0.275862069,1,0,1,2,1.75862069,1,1,0.827586207,0.620689655,0.586206897,1,0.206896552,0.448275862,28.51724138,1582.862069,2.793103448,595.1034483,1.275862069,0,1,0,1.862068966,1,0.24137931,5,37.51724138,46.47619048,0,1,0.476190476,0,0.142857143,0.428571429,0.238095238,1,0.952380952,0,0.380952381,0.142857143,1,0,1,0.047619048,0.80952381,2.333333333,6.761904762,4.899112395,1,0.380952381,0,1.047619048,0.476190476,4.619047619,2,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.714285714,1.428571429,1.428571429,0,0,12.17015301,0,0,1,0.666666667,1,0,0.19047619,0,0,0,0.047619048
68.85213095,38.55440574,2,1,46.05263158,69.63157895,110.2105263,2442.789474,0.052631579,0.210526316,0.842105263,0.578947368,0.578947368,0.578947368,0.789473684,0.263157895,0.315789474,0.631578947,0.631578947,0.578947368,0.894736842,0.578947368,0.105263158,0,0.684210526,0.736842105,0.105263158,0.736842105,0.105263158,9.473684211,3.578947368,0.421052632,0.736842105,0.684210526,0.842105263,0.736842105,0.473684211,0.263157895,1.894736842,1.684210526,1.578947368,1.894736842,1.789473684,0,0,121.1578947,2.105263158,5,0.157894737,0.473684211,1,0,0.526315789,0.842105263,0,1,1.736842105,1.578947368,1,1,0.894736842,1,0.684210526,1,0.105263158,0.210526316,31.10526316,1617,3,638.7894737,1.263157895,0,1.105263158,0,2.894736842,1.473684211,0.105263158,5,26.52631579,44.21052632,0,1,0.526315789,0.105263158,0.421052632,0.578947368,0.157894737,1.842105263,0.736842105,0.473684211,0.157894737,0.157894737,1,0,0.894736842,0,0.894736842,2.526315789,6.842105263,4.947368421,1.789473684,0.421052632,0.052631579,1,0.789473684,5.105263158,2.578947368,0,0,0,0,0,0,0,0,0,0,0,0,1.157894737,0.789473684,1.315789474,1.315789474,0,0.526315789,12.15789474,0,0,1,0.473684211,1,0,0.052631579,0,0,0,0
68.80195261,38.57292198,3,1,55.80645161,70.5483871,106.2258065,2367.129032,0.129032258,0.516129032,0.935483871,0.548387097,0.677419355,0.64516129,0.64516129,0.129032258,0.677419355,0.64516129,0.612903226,0.838709677,0.516129032,0.774193548,0.322580645,0.193548387,0.774193548,0.903225806,0.483870968,0.806451613,0.225806452,9.530478891,3.161290323,0.483870968,0.677419355,0.612903226,0.64516129,0.967741935,0.774193548,0.064516129,2,1.870967742,1.774193548,1.935483871,1.838709677,0,0,124.8064516,2,4.681222895,0.290322581,0.290322581,1,0,0.709677419,1,0,1,1.903225806,1.838709677,1,1.870967742,0.741935484,0.35483871,0.677419355,1,0.096774194,0.258064516,27.12903226,1604.096774,2.870967742,610.0967742,1.290322581,0,1,0,1.967741935,1.838709677,0.064516129,4.806451613,27.70967742,56.81818182,0,1,0.636363636,0,0.227272727,0.5,0.454545455,1.954545455,0.5,0.5,0.136363636,0.227272727,1,0,1,0,0.681818182,2.090909091,8.272727273,4.636363636,2,0.454545455,0,1,1.5,6.954545455,2.818181818,0,0,0,0,0,0,0,0,0,0,0,0,1.136363636,0.772727273,1.409090909,1.409090909,0,0,9.636363636,0,0,1,0.590909091,1,0,0.136363636,0,0,0,0
68.80139094,38.56330699,4,1,45.47058824,70.94117647,111,2481,0.058823529,0.529411765,0.941176471,0.705882353,0.411764706,0.823529412,0.882352941,0.411764706,0.470588235,0.823529412,0.470588235,0.941176471,0.882352941,0.529411765,0.470588235,0.117647059,0.764705882,0.764705882,0.176470588,0.411764706,0.294117647,12.41176471,4.352941176,0.411764706,0.882352941,0.882352941,0.823529412,1.176470588,1.588235294,0.941176471,2,1.941176471,1.882352941,1.941176471,1.941176471,0,0,124.9411765,2.588235294,4.588235294,0.058823529,0.470588235,1,0,0.176470588,1,0,1,1.941176471,1.529411765,1,1,0.882352941,1.176470588,0.941176471,1,0.411764706,0.882352941,30.58823529,1607.529412,2.411764706,642.2352941,1.294117647,0,1.058823529,0,2,1,0.411764706,5,25.82352941,44.5,0,1,0.875,0.125,0.4375,0.5,0.25,1,1,0,0.625,0.125,1,0,1,0,0.875,2.875,5.4375,4.9375,1,0.0625,0,1,0.5625,4.125,1.9375,0,0,0,0,0,0,0,0,0,0,0,0,1.1875,0.875,1.25,1.25,0,0,14.4375,0,0,1,0.8125,1,0,0.125,0,0,0,0
68.80331559,38.56097753,5,1,37.30769231,70.53846154,105.5384615,2384.384615,0.076923077,0.538461538,1,0.307692308,0.615384615,0.692307692,0.692307692,0.153846154,0.615384615,0.923076923,0.538461538,0.692307692,0.769230769,0.384615385,0.153846154,0.076923077,0.615384615,0.846153846,0.538461538,0.846153846,0.153846154,12.61538462,4.538461538,0.384615385,0.923076923,0.769230769,0.461538462,0.692307692,1.230769231,1.307692308,1.538461538,1.846153846,1.769230769,2,1.846153846,0,0,132.1538462,2.692307692,4.076923077,0,0.307692308,1,0,0.076923077,1,0,1,2,1.923076923,1,1,0.923076923,0.461538462,0.923076923,1,0.076923077,0.384615385,32.38461538,1595.615385,2.692307692,608.4615385,1.615384615,0.076923077,1,0,1.461538462,1,0.615384615,5,24.07692308,44.61904762,0,1,0.619047619,0,0.142857143,0.761904762,0.142857143,1,1,0,0.476190476,0.047619048,0.952380952,0.047619048,1,0,0.857142857,2.714285714,5.571428571,4.428571429,1,0.142857143,0,1.333333333,0.285714286,2.619047619,1.476190476,0,0,0,0,0,0,0,0,0,0,0,0,1.142857143,0.904761905,1.523809524,1.523809524,0,0,12.52380952,0,0,1,0.761904762,1,0,0.047619048,0,0,0,0.047619048
68.78573041,38.56959081,6,1,45.84210526,70.15789474,108.2105263,2319.631579,0.105263158,0.421052632,0.947368421,0.578947368,0.789473684,0.842105263,0.736842105,0.210526316,0.631578947,0.736842105,0.526315789,0.842105263,0.789473684,0.157894737,0.473684211,0,0.947368421,0.789473684,0.210526316,0.789473684,0.368421053,13.42105263,4.684210526,0.315789474,0.684210526,0.684210526,0.842105263,0.842105263,1.315789474,1.947368421,2,1.947368421,1.736842105,1.947368421,1.894736842,0,0,122.6842105,2.789473684,4.157894737,0.157894737,0.473684211,1,0,0.684210526,1,0.052631579,1,1.947368421,1.105263158,1,1,0.894736842,0.684210526,0.947368421,1,0.210526316,0.473684211,29.84210526,1627,2.578947368,613.1052632,1.526315789,0,1,0,1.684210526,1,0.789473684,5,65.31578947,44,0,1,0.571428571,0.095238095,0.285714286,0.857142857,0.095238095,1,0.952380952,0,0.761904762,0.095238095,1,0,1,0.047619048,0.904761905,2.714285714,5.80952381,4.666666667,1,0.142857143,0,1.238095238,0.476190476,3.523809524,1.857142857,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.476190476,1.476190476,0,0,13.04761905,0,0,1,0.857142857,1,0,0.047619048,0,0,0.047619048,0.047619048
68.80302059,38.56125776,7,1,52.2,70.16,107.12,2429.8,0.08,0.48,1,0.56,0.6,0.6,0.76,0.28,0.68,0.68,0.76,0.8,0.68,0.6,0.28,0,0.76,0.84,0.4,0.68,0.12,10.72,3.76,0.32,0.84,0.8,0.6,0.8,1.2,0.76,1.84,1.92,1.84,1.96,1.92,0,0,124.4,2.28,4.92,0.16,0.4,1,0,0.44,1,0.04,1,1.96,1.48,1,1.16,0.88,0.76,0.68,1,0.36,0.72,31.48,1568.76,2.44,599.36,1.48,0,1.08,0,2,1.64,0.28,4.96,48.6,55.22727273,0,1,0.5,0,0.409090909,0.681818182,0.363636364,1.545454545,1,0.318181818,0.5,0.136363636,0.954545455,0,1,0.045454545,0.954545455,2.409090909,7.5,5.136363636,1.545454545,0.181818182,0,1.090909091,0.363636364,3.954545455,2.090909091,0,0,0,0,0,0,0,0,0,0,0,0,1,0.818181818,1.409090909,1.409090909,0,0,11.59090909,0,0,1,0.818181818,1,0,0.136363636,0,0,0,0
68.80574252,38.55653349,8,1,53.42307692,71.76923077,111.1923077,2621.115385,0.076923077,0.653846154,0.961538462,0.538461538,0.653846154,0.807692308,0.884615385,0.115384615,0.538461538,0.653846154,0.653846154,0.730769231,1,0.538461538,0.192307692,0.076923077,0.846153846,0.846153846,0.038461538,0.730769231,0.346153846,10.61538462,3.807692308,0.423076923,0.884615385,0.769230769,0.384615385,0.807692308,0.884615385,0.192307692,1.615384615,1.807692308,1.730769231,1.846153846,1.769230769,0,0,124.9615385,2.192307692,5.346153846,0.269230769,0.307692308,1,0,0.346153846,1,0,1,2,1.807692308,1.076923077,1.153846154,0.653846154,0.769230769,0.538461538,1,0.076923077,0.153846154,29.34615385,1610.423077,2.923076923,682.9615385,1.5,0,1,0,2.115384615,1.538461538,0.076923077,5,29.5,54.95454545,0,1,0.545454545,0,0.227272727,0.363636364,0.5,2,0.863636364,0.454545455,0.363636364,0.181818182,1,0,1,0,0.909090909,2.318181818,7.318181818,4.590909091,2,0.363636364,0,1,0.818181818,5.363636364,2.863636364,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909,1.5,1.5,0,0,10.59090909,0,0,1,0.681818182,1,0,0.090909091,0,0.090909091,0,0
68.79900971,38.56106239,9,1,57.53846154,69.84615385,107,2379.961538,0.038461538,0.307692308,0.961538462,0.5,0.653846154,0.807692308,1,0.269230769,0.461538462,0.807692308,0.576923077,0.961538462,0.846153846,0.461538462,0.230769231,0.038461538,0.807692308,0.615384615,0.269230769,0.615384615,0.307692308,10.69230769,4,0.346153846,0.807692308,0.692307692,0.769230769,1.384615385,0.884615385,0.5,2,1.846153846,1.730769231,1.923076923,1.807692308,0,0,123.7692308,2.346153846,4.769230769,0.269230769,0.576923077,1,0,0.5,1,0.115384615,1,1.923076923,1.538461538,1,1,0.884615385,0.423076923,0.923076923,1,0.153846154,0.346153846,29.15384615,1601,2.769230769,610.5384615,1.423076923,0,1,0,2.115384615,1.230769231,0.307692308,5,40.96153846,54.38095238,0,1,0.523809524,0.047619048,0.476190476,0.619047619,0.333333333,1.904761905,0.714285714,0.571428571,0.571428571,0.19047619,1,0,0.952380952,0.095238095,0.857142857,2.428571429,7.428571429,5.142857143,1.952380952,0.380952381,0,1,0.619047619,5.619047619,2.761904762,0,0,0,0,0,0,0,0,0,0,0,0,1,0.904761905,1.428571429,1.428571429,0,0,11.66666667,0,0,1,0.80952381,1,0,0.142857143,0,0,0,0.047619048
68.81100335,38.56160194,10,1,46.8,69.9,107.5,2531.3,0.2,0.35,1,0.6,0.35,0.85,0.85,0.2,0.65,0.7,0.65,0.85,1,0.55,0.4,0.05,0.65,0.75,0.2,0.6,0.3,10.9,3.95,0.5,0.8,0.8,0.55,0.95,1.2,0.9,1.9,1.9,1.7,2,2,0,0.05,123.55,2.35,5.1,0.1,0.35,0.95,0,0.2,1,0.15,1,2,1.4,1,1,0.75,1.1,0.8,1,0.3,0.7,32.2,1628.2,2.4,673.95,1.3,0.05,1,0,2.6,1,0.4,5,38.15,46.77272727,0,1,0.636363636,0.045454545,0.318181818,0.727272727,0.181818182,1,0.954545455,0.045454545,0.681818182,0.090909091,0.954545455,0,1,0.227272727,0.818181818,2.909090909,5.136363636,4.772727273,1,0.181818182,0,1.272727273,0.5,3.727272727,1.863636364,0,0,0,0,0,0,0,0,0,0,0,0,1,0.909090909,1.363636364,1.363636364,0,0,14.59090909,0,0,1,0.954545455,1,0,0.045454545,0,0,0,0.045454545
